Cor	Iteración	Vivos
1	1	0
1	1	9
1	2	1
2	3	0
2	1	52
2	2	32
2	3	20
2	4	12
2	5	11
2	6	7
2	7	4
2	8	4
2	9	4
2	10	4
2	12	4
2	13	4
2	14	4
2	15	4
2	16	4
2	17	4
2	18	4
2	19	4
2	20	4
2	21	4
2	22	4
2	23	4
2	24	4
2	25	4
2	26	4
2	27	4
2	28	4
2	29	4
2	30	4
2	31	4
2	32	4
2	33	4
2	34	4
2	35	4
2	36	4
2	37	4
2	38	4
2	39	4
2	40	4
2	41	4
2	42	4
2	43	4
2	44	4
2	45	4
2	46	4
2	47	4
2	48	4
2	49	4
2	50	4
3	1	4
3	1	94
3	2	61
3	3	41
3	4	23
3	5	12
3	6	4
3	7	4
3	8	4
3	9	4
3	10	4
3	12	4
3	13	4
3	14	4
3	15	4
3	16	4
3	17	4
3	18	4
3	19	4
3	20	4
3	21	4
3	22	4
3	23	4
3	24	4
3	25	4
3	26	4
3	27	4
3	28	4
3	29	4
3	30	4
3	31	4
3	32	4
3	33	4
3	34	4
3	35	4
3	36	4
3	37	4
3	38	4
3	39	4
3	40	4
3	41	4
3	42	4
3	43	4
3	44	4
3	45	4
3	46	4
3	47	4
3	48	4
3	49	4
3	50	4
4	1	4
4	1	116
4	2	87
4	3	71
4	4	57
4	5	49
4	6	34
4	7	30
4	8	20
4	9	13
4	10	5
4	11	1
5	12	0
5	1	81
5	2	60
5	3	29
5	4	18
5	5	14
5	6	10
5	7	8
5	8	8
5	9	8
5	10	8
5	12	8
5	13	8
5	14	8
5	15	8
5	16	8
5	17	8
5	18	8
5	19	8
5	20	8
5	21	8
5	22	8
5	23	8
5	24	8
5	25	8
5	26	8
5	27	8
5	28	8
5	29	8
5	30	8
5	31	8
5	32	8
5	33	8
5	34	8
5	35	8
5	36	8
5	37	8
5	38	8
5	39	8
5	40	8
5	41	8
5	42	8
5	43	8
5	44	8
5	45	8
5	46	8
5	47	8
5	48	8
5	49	8
5	50	8
6	1	8
6	1	64
6	2	28
6	3	11
6	4	3
7	5	0
7	1	38
7	2	15
7	3	5
7	4	3
7	5	1
8	6	0
8	1	32
8	2	0
