Time	RMSD
0	0.0049974
0.15	0.2809639
0.3	0.2983274
0.45	0.2924061
0.6	0.3387926
0.75	0.3201787
0.9	0.3367377
1.05	0.3828317
1.2	0.3852621
1.35	0.4175677
1.5	0.4054185
1.65	0.4118561
1.8	0.3958215
1.95	0.4263509
2.1	0.3950862
2.25	0.407799
2.4	0.4284894
2.55	0.440285
2.7	0.4391621
2.85	0.4580449
3	0.4806407
3.15	0.4634874
3.3	0.472492
3.45	0.4642081
3.6	0.4357696
3.75	0.4820982
3.9	0.4745162
4.05	0.4784327
4.2	0.5136278
4.35	0.5358142
4.5	0.5820514
4.65	0.5363353
4.8	0.5651069
4.95	0.5945346
5.1	0.6398811
5.25	0.5871373
5.4	0.5775052
5.55	0.6512796
5.7	0.6414562
5.85	0.6304294
6	0.5981631
6.15	0.5744255
6.3	0.6088492
6.45	0.618562
6.6	0.5728906
6.75	0.5661134
6.9	0.4964409
7.05	0.5253302
7.2	0.5577805
7.35	0.5910169
7.5	0.5312352
7.65	0.5755063
7.8	0.6000298
7.95	0.6020486
8.1	0.5834423
8.25	0.630141
8.4	0.5966591
8.55	0.6030332
8.7	0.5734707
8.85	0.6121259
9	0.5832036
9.15	0.5408915
9.3	0.5896054
9.45	0.554803
9.6	0.5753031
9.75	0.5844514
9.9	0.5762713
10.05	0.6030439
10.2	0.604756
10.35	0.6033911
10.5	0.5833898
10.65	0.6050262
10.8	0.6283281
10.95	0.5986659
11.1	0.6067767
11.25	0.6138121
11.4	0.607026
11.55	0.6186641
11.7	0.5875958
11.85	0.5804946
12	0.5679474
12.15	0.5914246
12.3	0.605751
12.45	0.6368241
12.6	0.6037625
12.75	0.5980906
12.9	0.6382738
13.05	0.5978332
13.2	0.6526661
13.35	0.6536705
13.5	0.6540405
13.65	0.6363403
13.8	0.6489845
13.95	0.6528572
14.1	0.6108891
14.25	0.5787455
14.4	0.583427
14.55	0.5752967
14.7	0.5571912
14.85	0.5523186
15	0.5440794
15.15	0.5554378
15.3	0.5728391
15.45	0.5654225
15.6	0.5536692
15.75	0.5666797
15.9	0.5598474
16.05	0.5510471
16.2	0.5633709
16.35	0.5807868
16.5	0.5874504
16.65	0.5508986
16.8	0.5705971
16.95	0.5758967
17.1	0.5811192
17.25	0.5566753
17.4	0.561038
17.55	0.5654177
17.7	0.5145085
17.85	0.5515748
18	0.5454845
18.15	0.5644783
18.3	0.5237854
18.45	0.5334451
18.6	0.5161529
18.75	0.5376496
18.9	0.5611417
19.05	0.5825009
19.2	0.5513595
19.35	0.5297924
19.5	0.5503874
19.65	0.5738705
19.8	0.5695196
19.95	0.5692506
20.1	0.5654491
20.25	0.550972
20.4	0.5536371
20.55	0.5343606
20.7	0.5505273
20.85	0.5730189
21	0.5446044
21.15	0.5078541
21.3	0.5029048
21.45	0.5320917
21.6	0.5560898
21.75	0.5446622
21.9	0.519882
22.05	0.5326146
22.2	0.5229298
22.35	0.5184728
22.5	0.5166525
22.65	0.5359678
22.8	0.4920802
22.95	0.5051768
23.1	0.5406824
23.25	0.5237064
23.4	0.5435982
23.55	0.5540162
23.7	0.5828773
23.85	0.6019309
24	0.5976697
24.15	0.575489
24.3	0.5972589
24.45	0.6126245
24.6	0.6444661
24.75	0.6166887
24.9	0.6198856
25.05	0.5981641
25.2	0.5928379
25.35	0.6411104
25.5	0.5923338
25.65	0.6186403
25.8	0.6423779
25.95	0.6601071
26.1	0.6620992
26.25	0.6791678
26.4	0.6513323
26.55	0.6888063
26.7	0.6710917
26.85	0.6682811
27	0.6783167
27.15	0.6736259
27.3	0.6833088
27.45	0.6940498
27.6	0.6785803
27.75	0.6563684
27.9	0.6489763
28.05	0.6636324
28.2	0.6739152
28.35	0.6760821
28.5	0.6728997
28.65	0.6899049
28.8	0.7274173
28.95	0.6963863
29.1	0.6955739
29.25	0.6973733
29.4	0.6942721
29.55	0.7101856
29.7	0.6814255
29.85	0.6779591
30	0.6247642
30.15	0.6572261
30.3	0.6339782
30.45	0.6116434
30.6	0.6442608
30.75	0.6396036
30.9	0.6849068
31.05	0.729865
31.2	0.7143227
31.35	0.7088878
31.5	0.6745144
31.65	0.7168003
31.8	0.6990202
31.95	0.67985
32.1	0.6823427
32.25	0.6906149
32.4	0.7103375
32.55	0.7072985
32.7	0.739883
32.85	0.7518941
33	0.7626808
33.15	0.7722378
33.3	0.7356795
33.45	0.7367738
33.6	0.6839759
33.75	0.6950305
33.9	0.6325089
34.05	0.6484737
34.2	0.6819397
34.35	0.6569909
34.5	0.6457967
